Time,AccX,AccY,AccZ
808,5248,-3396,8900
809,4140,-3212,16600
810,1396,-2212,23400
811,-20,892,23264
812,152,3612,20528
813,1212,6024,16464
814,1140,6756,13300
815,340,5820,13940
816,1288,1124,21396
817,2708,-6376,25376
818,2708,-6376,25376
819,3404,-8296,14460
820,4740,-5112,8116
821,4704,-3284,12856
822,2360,-3260,22052
823,516,56,23964
824,-160,3668,21624
825,996,5812,17492
826,1464,7348,13324
827,-68,6544,13604
828,972,3328,18624
829,972,3328,18624
830,2444,-5576,26816
831,3412,-9264,17248
832,4312,-6528,8332
833,4792,-3544,11288
834,2876,-3540,20956
835,864,-588,24312
836,8,3972,21816
837,880,6416,17612
838,1756,7488,13216
839,-120,7040,13492
840,-120,7040,13492
841,608,4244,17968
842,2440,-5452,26956
843,3568,-10324,17936
844,4040,-7292,8168
845,4480,-3908,11116
846,2644,-3832,21268
847,760,-708,24444
848,292,4108,21284
849,1168,7152,16824
850,1168,7152,16824
851,1736,7876,13084
852,-92,7868,13352
853,336,3852,19568
854,2800,-6608,27328
855,3956,-10988,16372
856,4184,-7076,7576
857,4264,-4072,12724
858,2060,-3528,23044
859,648,56,24416
860,652,5120,20088
861,652,5120,20088
862,1640,8088,15432
863,1484,8208,12768
864,-168,8176,13884
865,684,1804,22464
866,3356,-9060,26500
867,4100,-11248,12940
868,4404,-6308,7324
869,3632,-4356,15844
870,1304,-2844,24896
871,320,1588,23544
872,320,1588,23544
873,904,6660,18044
874,1780,8256,13836
875,1020,8668,12224
876,-528,7644,15956
877,1504,-2024,26276
878,3940,-11692,22672
879,4108,-10164,8868
880,4452,-4980,8968
881,2524,-4096,20580
882,560,-1640,25840
883,560,-1640,25840
884,460,3452,21248
885,1684,7728,15560
886,1784,8424,12676
887,276,9308,12596
888,-28,5008,20084
889,2636,-7256,28244
890,4452,-12676,16520
891,4256,-7716,6816
892,3912,-4084,13660
893,1324,-2588,24432
894,1324,-2588,24432
895,184,792,24232
896,1108,4872,17864
897,1788,6828,14020
898,1292,8336,13364
899,-736,7284,17436
900,1200,-256,24152
901,3616,-8768,21648
902,4256,-8628,10520
903,4596,-3764,9336
904,3292,-2540,17552
905,3292,-2540,17552
906,1532,-2068,23180
907,860,208,21432
908,712,2828,18832
909,648,4996,17468
910,408,6612,16032
911,92,5152,16584
912,2272,844,19396
913,3544,-4716,20096
914,3656,-5668,14352
915,4116,-3740,11624
916,4116,-3740,11624
917,4060,-1900,13880
918,2844,-2220,18972
919,1312,-1044,21348
920,-60,140,21720
921,-488,1408,21312
922,144,4012,18600
923,1380,5168,15152
924,2184,2580,15324
925,2660,128,18756
926,2256,-1856,19524
927,2256,-1856,19524
928,3200,-2204,15124
929,4164,-3148,12680
930,4008,-2472,14112
931,2904,-1484,17860
932,1496,-768,19724
933,476,-904,20476
934,-164,160,20860
935,-128,2048,20104
936,848,2224,18072
937,1972,2272,16644
938,1972,2272,16644
939,2792,1392,16604
940,2412,-432,17336
941,2716,-264,16272
942,3112,-720,15828
943,3464,-1500,15144
944,3064,-1824,16104
945,2280,-1172,17576
946,1844,-500,18156
947,1296,-48,18612
948,1296,-48,18612
949,1016,-48,19444
950,780,4,19732
951,780,520,19300
952,1296,1008,18268
953,2148,824,17392
954,2612,528,16792
955,2484,4,16768
956,2268,-268,16780
957,2336,28,16684
958,2340,-108,16904
959,2340,-108,16904
960,2284,-500,17088
961,2200,-704,17196
962,2216,-640,17204
963,2060,-468,17620
964,1832,-356,17948
965,1800,-240,18028
966,1716,-112,18100
967,1740,-156,18192
968,1480,-56,18324
969,1592,260,18140
970,1592,260,18140
971,1864,336,17760
972,2088,208,17348
973,2188,-20,17264
974,2028,-120,17456
975,1944,28,17544
976,1880,28,17408
977,1952,-8,17340
978,2108,-172,17284
979,2136,-236,17408
980,2072,-344,17364
981,2072,-344,17364
982,2184,-324,17336
983,2152,-420,17252
984,2152,-380,17472
985,1964,-384,17604
986,1796,-228,17836
987,1808,-136,17916
988,1864,44,17912
989,1832,8,17816
990,1724,52,17912
991,1956,80,17784
992,1956,80,17784
993,1976,-12,17528
994,2068,-208,17432
995,2080,-112,17384
996,2056,-140,17472
997,1996,-20,17636
998,1924,44,17556
999,2016,-84,17536
1000,1992,-56,17440
1001,1988,-4,17520
1002,2004,-4,17588
1003,2004,-4,17588
1004,1896,-64,17432
1005,2124,-140,17484
1006,2176,-196,17408
1007,2060,-164,17384
1008,2012,-372,17508
1009,2180,-252,17660
1010,2096,-288,17676
1011,2136,-180,17812
1012,1988,-120,17676
1013,1872,-128,17776
1014,1872,-128,17776
1015,1752,-108,18084
1016,1784,116,18068
1017,1840,76,17740
1018,1900,64,17504
1019,2040,8,17404
1020,2016,-76,17468
1021,1964,0,17628
1022,2048,124,17556
1023,1972,-16,17520
1024,2004,24,17436
1025,2004,24,17436
1026,2068,-312,17512
1027,2108,-300,17292
1028,2168,-408,17364
1029,2264,-436,17392
1030,2364,-408,17344
1031,2148,-424,17480
1032,1960,-312,17892
1033,1848,-160,17996
1034,1792,-108,17976
1035,1660,-168,18280
1036,1660,-168,18280
1037,1552,80,18356
1038,1632,216,18124
1039,1804,288,17656
1040,2084,152,17348
1041,2204,40,17232
1042,2044,8,17456
1043,1912,64,17484
1044,2040,84,17220
1045,2064,-64,17048
1046,2064,-64,17048
1047,2220,-384,16988
1048,2252,-568,17128
1049,2280,-692,17048
1050,2320,-636,17216
1051,2144,-496,17368
1052,1952,-424,17680
1053,1752,-96,18028
1054,1532,-272,18428
1055,1420,116,18744
1056,1368,460,18632
1057,1368,460,18632
1058,1596,520,17996
1059,2064,224,17252
1060,2224,288,17032
1061,2220,200,17224
1062,2124,-108,17220
1063,2248,32,16952
1064,2288,-288,17088
1065,2468,-512,16944
1066,2508,-872,16984
1067,2432,-796,17016
1068,2432,-796,17016
1069,2372,-600,17312
1070,1964,-532,17792
1071,1696,-400,18148
1072,1244,-360,18964
1073,988,280,19356
1074,1008,908,19076
1075,1412,800,18012
1076,2240,448,17096
1077,2428,448,16872
1078,2188,-48,17072
1079,2188,-48,17072
1080,2312,132,16936
1081,2416,-120,16796
1082,2672,-696,16556
1083,2528,-1376,16788
1084,2508,-1268,16876
1085,2336,-980,17168
1086,2008,-580,17776
1087,1520,-348,18584
1088,936,-348,19596
1089,640,612,19796
1090,640,612,19796
1091,744,1384,19036
1092,1564,1184,17760
1093,2308,880,16784
1094,2504,596,16672
1095,2148,-156,17044
1096,2640,232,16428
1097,2804,-612,16248
1098,2900,-1608,16012
1099,2780,-1960,16468
1100,2552,-1432,16932
1101,2552,-1432,16932
1102,2224,-860,17760
1103,1464,-704,18748
1104,732,-660,20164
1105,308,692,20584
1106,532,1936,19324
1107,1372,1816,17636
1108,2324,1612,16600
1109,2436,736,16532
1110,2212,4,17236
1111,2608,92,16356
1112,2608,92,16356
1113,3204,-1056,15728
1114,3384,-2648,15232
1115,3100,-2588,16028
1116,2548,-1536,17516
1117,1972,-932,18428
1118,900,-984,19936
1119,-16,52,21476
1120,-72,1924,20728
1121,736,2260,18268
1122,2088,2656,15884
1123,2088,2656,15884
1124,2752,2164,15572
1125,2156,356,17812
1126,2564,92,17184
1127,3232,-1048,15640
1128,3968,-3256,14156
1129,3608,-3612,14896
1130,2712,-2084,17536
1131,1920,-1564,19076
1132,680,-1592,20600
1133,-332,380,22092
1134,-332,380,22092
1135,-340,2556,21172
1136,820,2904,17684
1137,2184,3916,14552
1138,2360,2756,15252
1139,2516,1052,18540
1140,2300,-884,18640
1141,3612,-2564,14688
1142,4224,-4656,12560
1143,3676,-3656,14516
1144,3676,-3656,14516
1145,2740,-2124,18228
1146,1372,-2192,20640
1147,240,-1300,22016
1148,-760,2056,22464
1149,20,3616,19324
1150,1596,4268,15180
1151,2248,4628,13148
1152,1928,2920,17156
1153,2112,-456,21268
1154,3312,-3240,17556
1155,3312,-3240,17556
1156,4204,-5168,11860
1157,4536,-4492,11844
1158,3444,-2576,16832
1159,1700,-2736,21172
1160,312,-1688,22464
1161,-648,1600,22684
1162,-168,4328,19664
1163,1336,5596,15240
1164,1860,5536,12496
1165,1592,4020,15884
1166,1592,4020,15884
1167,1884,-676,23300
1168,3336,-4860,19832
1169,4136,-6228,11308
1170,4812,-4232,9824
1171,3960,-2812,16136
1172,1640,-3052,22596
1173,148,-1120,23376
1174,-560,2340,22008
1175,172,4972,18456
1176,1440,6772,14016
1177,1440,6772,14016
1178,920,5656,12812
